vAdyopakaraRam,vIRA,mfdaNga,QakkA,qamaru,JarJara,qiRqima,vallakI,muraja,paRava,dunduBi
vfttiH,kumBakAra,mAlAkAra,raTakAra,svarRakAra,lohakAraka,lipikAra,agadaNkAra,sUpakAra,citrakAra,jaNGAkarika
grahaH,ravi,Sukra,buDa,viDu,guru,rAhu,ketu,soma,candramas,rOhiReya
devatA,rAma,SivA,pArvatI,lakzmI,durgA,vinAyaka,kArtikeya,indra,vizRu,brahmA,kfzRa
paSuH,siMha,varAha,vAnara,Balluka,SfgAla,jambuka,mArjAra,hariRa,gaja,Sunaka
pakzI,kapota,cAtaka,kukkuwa,kokila,kAka,cilla,Suka,baka,haMsa,mayUra
nadI,mandAkinI,gaNgA,BAgIraTI,kAlindI,yamunA,narmadA,candraBAgA,sarasvatI,kAverI,sinDu
vfkzaH,pippala,aSvatTa,kesara,palASa,aSoka,candana,tAla,tamAla,nimba,kadamba
upakaraRam,sammArjanI,SoDanI,kaNkatikA,cAlanI,cullI,antikA,ezaRikA,prasADanI,vihaNgikA,veDanikA,pAdukA
ABaraRam,SiKA,mukuwa,cUqAmaRi,lalAwikA,karRikA,lalantikA,prAlambikA,hAra,kaNkaRa,nUpura
alOkikasTAnam,svarga,amarAvatI,nandana,suDarmA,devasaBA,kElAsa,alakA,pAtAla,nAgaloka,naraka
vAhanam,nO,srotas,droRI,yAna,raTa,Sakawa,gantrI,yApyayAna,dolA,yugya,vEnItaka
parvataH,meru,trikUwa,pUrvaparvata,himavat,vinDya,mAlyavat,pariyAtraka,ganDamAdana,hemakUwa,pratyantaparvata
vfkzaPalam,SalAwu,vAna,vERava,plAkza,nEyagroDa,ENguda,bArhata,jambUPalam,badarIPalam,mAtulaputraka,jAtIPalam
puzpam,jAmBajam,campakam,sahastrapatram,yUTikA,navamallikA,pAwalam,karRoraH,padma,mandAraka,kEtakam